,user_id,register_day,register_type,device_type
user_video_create_register_mean_time,85
user_video_create_rate,70
user_action_type_num,64
user_video_create_register_max_time,63
user_video_create_register_min_time,54
user_video_create_gap,36
user_video_create_day,34
the best params for lightgbm: 
colsample_bytree,0.8784255873412283
learning_rate,5.3410367883264484e-06
max_bin,174
max_depth,3
min_child_samples,93
min_child_weight,0.0019772743700720865
min_split_gain,5.8046530866286585e-05
n_estimators,1028
num_leaves,61
reg_alpha,3.2315172541952717
reg_lambda,0.7207430557420142
scale_pos_weight,0.9984219284344102
subsample,0.9088901619350623
the best score for lightgbm: ,0.8054941048354702,2018-06-03_18-45
feature importance of lgb for tencent-crt,2018-06-03_18-46
user_activity_day_rate,2273
user_app_launch_gap,1405
user_app_launch_rate,1113
user_video_num,1030
user_activity_rate,914
register_type_device,172
user_activity_gap,119
register_type_rate,75
user_app_launch_register_mean_time,33
user_author_num,17
user_app_launch_var,17
user_activity_frequency,16
user_activity_var,10
device_type_rate,2
user_video_create_var,0
user_video_create_register_min_time,0
user_video_create_register_mean_time,0
user_video_create_register_max_time,0
user_video_create_rate,0
user_video_create_gap,0
user_video_create_frequency,0
user_video_create_day,0
user_page_num,0
user_app_launch_register_max_time,0
user_activity_register_min_time,0
user_activity_register_mean_time,0
user_activity_register_max_time,0
user_action_type_num,0
device_type_register,0
feature importance of lgb for tencent-crt ,2018-06-03_19-05
best score,0.7705432596443669,best params
boosting_type,gbdt
n_estimators,400
num_leaves,6
user_app_launch_var,209
user_app_launch_rate,203
user_app_launch_gap,167
register_type_rate,141
user_video_num,138
user_activity_day_rate,123
device_type_rate,122
user_activity_rate,113
user_author_num,90
user_app_launch_register_max_time,79
user_activity_register_max_time,77
register_type_device,70
user_app_launch_register_mean_time,62
user_page_num,56
user_activity_var,54
user_activity_frequency,51
device_type_register,49
user_activity_register_mean_time,32
user_video_create_register_max_time,30
user_video_create_frequency,30
user_activity_gap,23
user_video_create_rate,22
user_video_create_register_mean_time,21
user_activity_register_min_time,16
user_action_type_num,7
user_video_create_register_min_time,6
user_video_create_var,5
user_video_create_gap,2
user_video_create_day,2
feature importance of lgb for tencent-crt ,2018-06-03_19-32
best score,0.7535737720520077,best params
boosting_type,gbdt
n_estimators,1200
num_leaves,6
device_type_rate,437
user_activity_rate,422
user_app_launch_gap,388
user_app_launch_var,385
user_author_num,381
user_activity_frequency,379
user_video_num,352
user_activity_var,352
user_app_launch_rate,345
user_app_launch_register_max_time,234
register_type_rate,230
user_page_num,183
user_app_launch_register_mean_time,177
user_activity_day_rate,171
user_activity_gap,160
device_type_register,154
user_activity_register_mean_time,140
register_type_device,140
user_activity_register_max_time,136
user_video_create_frequency,130
user_video_create_var,121
user_activity_register_min_time,103
user_video_create_rate,94
